"DATA_LOAD_ID","RAW_SRC_PK","RAW_SRC_PK_TYP","RAW_FK","RAW_FK_TYP","PRIM_ADDR_TYP","PRIM_ADDR1","PRIM_CITY","PRIM_ST","PRIM_POSTAL_CODE"
ALL_FDIC_201904,"1,324,854,800",PR_RECORD_ID,"31137",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"325 W WASHINGTON ST",WAUKEGAN,ILLINOIS,"60085"
ALL_FDIC_201904,"1,324,854,806",PR_RECORD_ID,"31143",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"914 LOUISIANA",HOUSTON,TEXAS,"77001"
ALL_FDIC_201904,"1,324,854,826",PR_RECORD_ID,"31163",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"401 W TEXAS AVE",BAYTOWN,TEXAS,"77520"
ALL_FDIC_201904,"1,324,854,828",PR_RECORD_ID,"31165",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"202 WEST BOSCAWEN STREET",WINCHESTER,VIRGINIA,"22601"
ALL_FDIC_201904,"1,324,854,842",PR_RECORD_ID,"31179",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"15 TRINITY STREET",NEWTON,NEW JERSEY,"7860"
ALL_FDIC_201904,"1,324,854,846",PR_RECORD_ID,"31183",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"160 NORTH STONE AVENUE",TUCSON,ARIZONA,"85701"
ALL_FDIC_201904,"1,324,854,851",PR_RECORD_ID,"31189",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"2244 WESTCHESTER AVENUE",BRONX,NEW YORK,"10462"
ALL_FDIC_201904,"1,324,854,857",PR_RECORD_ID,"31195",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"422 CHERRY AVENUE",ROCHELLE,ILLINOIS,"61068"
ALL_FDIC_201904,"1,324,854,858",PR_RECORD_ID,"31196",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"301 E MAIN ST",BRENHAM,TEXAS,"77833"
ALL_FDIC_201904,"1,324,854,875",PR_RECORD_ID,"31214",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,CORTEZ PLAZA SHOPPING CENTER,BRADENTON,FLORIDA,"33507"
ALL_FDIC_201904,"1,324,854,880",PR_RECORD_ID,"31219",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"327 WEST TAYLOR",GRIFFIN,GEORGIA,"30223"
ALL_FDIC_201904,"1,324,854,886",PR_RECORD_ID,"31225",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1 MAIN ST",CANISTEO,NEW YORK,"14823"
ALL_FDIC_201904,"1,324,854,888",PR_RECORD_ID,"31227",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"3614 MT DIABLO BLVD",LAFAYETTE,CALIFORNIA,"94549"
ALL_FDIC_201904,"1,324,854,899",PR_RECORD_ID,"31238",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"4370 MAIN ST",PHILADELPHIA,PENNSYLVANIA,"19127"
ALL_FDIC_201904,"1,324,854,903",PR_RECORD_ID,"31242",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"100 CLEARWARTER-LARGO RD",LARGO,FLORIDA,"33540"
ALL_FDIC_201904,"1,324,854,908",PR_RECORD_ID,"31247",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"122 S AVENUE A",PORTALES,NEW MEXICO,"88130"
ALL_FDIC_201904,"1,324,854,912",PR_RECORD_ID,"31251",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"3RD & SPRING STREET",LITTLE ROCK,ARKANSAS,"72203"
ALL_FDIC_201904,"1,324,854,917",PR_RECORD_ID,"31256",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"5580 LBJ FREEWAY SUITE 255",DALLAS,TEXAS,"75380"
ALL_FDIC_201904,"1,324,854,927",PR_RECORD_ID,"31266",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"741 WEST MAIN STREET",SYLVA,NORTH CAROLINA,"28779"
ALL_FDIC_201904,"1,324,854,928",PR_RECORD_ID,"31267",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"3228-30 EASTERN AVE",BALTIMORE,MARYLAND,"21224"
ALL_FDIC_201904,"1,324,854,929",PR_RECORD_ID,"31268",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"5250 SOUTH LAKE PARK AVENUE",CHICAGO,ILLINOIS,"60615"
ALL_FDIC_201904,"1,324,854,939",PR_RECORD_ID,"31278",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"211 NORTH MAIN STREET",LEITCHFIELD,KENTUCKY,"42754"
ALL_FDIC_201904,"1,324,854,951",PR_RECORD_ID,"31290",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"2400 LOUISANA BLVD NE",ALBUQUERQUE,NEW MEXICO,"87110"
ALL_FDIC_201904,"1,324,854,952",PR_RECORD_ID,"31291",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"403 W CORDOVA RD",SANTA FE,NEW MEXICO,"87501"
ALL_FDIC_201904,"1,324,854,958",PR_RECORD_ID,"31297",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"100 ST. FRANCIS ROAD",FRANKFORT,ILLINOIS,"60423"
ALL_FDIC_201904,"1,324,854,961",PR_RECORD_ID,"31300",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"303 WEST COLLEGE",JACKSONVILLE,ILLINOIS,"62650"
ALL_FDIC_201904,"1,324,854,976",PR_RECORD_ID,"31316",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"307 WEST WASHINGTON",SHERMAN,TEXAS,"75090"
ALL_FDIC_201904,"1,324,854,978",PR_RECORD_ID,"31318",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"118 N MAIN ST",GALAX,VIRGINIA,"24333"
ALL_FDIC_201904,"1,324,854,988",PR_RECORD_ID,"31328",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"2 EAST ELM STREET",CANTON,ILLINOIS,"61520"
ALL_FDIC_201904,"1,324,854,989",PR_RECORD_ID,"31329",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"417 WEST BROADWAY STREET",WEST PLAINS,MISSOURI,"65775"
ALL_FDIC_201904,"1,324,854,995",PR_RECORD_ID,"31335",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"7620 LITTLE RIVER TURNPIKE",ANNANDALE,VIRGINIA,"22003"
ALL_FDIC_201904,"1,324,855,001",PR_RECORD_ID,"31341",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1101 PITTSBURGH AVE",ERIE,PENNSYLVANIA,"16505"
ALL_FDIC_201904,"1,324,855,004",PR_RECORD_ID,"31344",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"212 EAST BROAD ST",STATESVILLE,NORTH CAROLINA,"28677"
ALL_FDIC_201904,"1,324,855,023",PR_RECORD_ID,"31363",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1219 EAST ROSECRANS AVENUE",COMPTON,CALIFORNIA,"90222"
